Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.09379E+13,1.13525E+13,1.19559E+13,1.25757E+13,1.34004E+13,1.4144E+13,1.4952E+13,1.55729E+13,1.64982E+13,1.74577E+13,1.81491E+13,1.89253E+13,1.99881E+13,2.12687E+13,2.16509E+13,2.17885E+13,2.29443E+13,2.3885E+13,2.4873E+13,2.59117E+13,2.63959E+13,2.69112E+13,2.69928E+13,2.77013E+13,2.90059E+13,3.00851E+13,3.11066E+13,3.22724E+13,3.37677E+13,3.50192E+13,3.59995E+13,3.64926E+13,3.72372E+13,3.79254E+13,3.91902E+13,4.03978E+13,4.18311E+13,4.34601E+13,4.46858E+13,4.62735E+13,4.8363E+13,4.9335E+13,5.04721E+13,5.20424E+13,5.43695E+13,5.65469E+13,5.90473E+13,6.16344E+13,6.29104E+13,6.20664E+13,6.48844E+13,6.70386E+13,6.88555E+13,7.07898E+13,7.29656E+13,7.52151E+13,7.73276E+13,7.99489E+13,8.25776E+13,8.47202E+13,8.21174E+13,8.7064E+13,8.97458E+13
World,WLD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3608.12685,3694.968086,3823.614985,3937.998747,4109.998137,4249.735255,4399.611646,4489.9807,4660.303316,4829.812191,4918.174789,5022.72375,5200.354454,5425.674826,5418.304236,5353.415779,5537.953873,5665.546384,5798.178193,5935.239154,5941.882621,5952.588435,5864.556722,5912.911415,6085.186623,6203.021121,6301.977805,6423.272569,6603.77879,6731.125843,6800.827689,6779.81476,6807.327101,6825.268922,6946.092092,7054.240881,7197.880114,7371.052499,7472.881906,7633.006287,7871.167778,7923.580841,8001.098037,8145.033804,8402.121903,8629.561679,8899.215642,9174.687111,9249.207579,9013.614067,9309.046328,9503.641584,9641.619886,9791.488294,9970.739832,10156.95346,10321.1368,10549.82166,10777.87045,10941.96449,10499.64711,11037.29404,11287.1485
World,WLD,"Population, total",SP.POP.TOTL,3031474234,3072421801,3126849612,3193428894,3260441925,3328209022,3398480280,3468370526,3540164023,3614572835,3690209960,3767930001,3843607574,3920017410,3995888368,4070022249,4143091942,4215826364,4289795862,4365742277,4442348279,4520917350,4602701335,4684875627,4766640881,4850076923,4936006502,5024289346,5113387878,5202582534,5293395467,5382536929,5470164577,5556623321,5642046034,5726736488,5811580202,5896055962,5979726559,6062288850,6144321462,6226348086,6308140970,6389462496,6470924346,6552700448,6635110367,6717878341,6801710019,6885849785,6970038720,7053994597,7141487869,7229731581,7317970484,7405277863,7492156881,7578220703,7661776612,7742682218,7820963775,7888161297,7951149546
World,WLD,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.80802039,..,..,..,..,59.59862761,..,..,..,..,58.98640049,60.68291689,58.62961093,61.06235921,60.41455626,..,60.45612474,60.35574635,56.98496072,57.34603628,..,..,..
